Sigmas,Simulations,MC_Price,BS_Price,Error,Time_ms
0.1,1000,6.45825,6.80496,0.34671,0
0.1,5000,6.78571,6.80496,0.0192461,5.231
0.1,10000,6.76999,6.80496,0.0349644,0
0.1,50000,6.76794,6.80496,0.037017,54.455
0.1,100000,6.79815,6.80496,0.00680869,82.523
0.2,1000,11.3013,10.4506,0.850681,0
0.2,5000,10.3002,10.4506,0.150388,5.532
0.2,10000,10.4238,10.4506,0.0267428,0
0.2,50000,10.475,10.4506,0.0243947,47.396
0.2,100000,10.3744,10.4506,0.0761765,86.386
0.3,1000,15.3843,14.2313,1.153,0
0.3,5000,14.3914,14.2313,0.16012,9.818
0.3,10000,14.3803,14.2313,0.149016,0
0.3,50000,14.3726,14.2313,0.14134,50.092
0.3,100000,14.1994,14.2313,0.0318081,85.616
0.4,1000,17.3056,18.023,0.717384,0
0.4,5000,18.0598,18.023,0.0368831,7.118
0.4,10000,17.7231,18.023,0.299854,0.48
0.4,50000,18.3275,18.023,0.304575,47.92
0.4,100000,18.1136,18.023,0.0906905,79.676
